Product	Voltage	pressure	pH	TOF_Coverage
CH3CH2OH_g	-1.8	0.0	6.8	0.0252555679402627
CH3CH2OH_g	-1.791919191919192	0.0	6.8	0.032529778562977
CH3CH2OH_g	-1.7838383838383838	0.0	6.8	0.0418960416717622
CH3CH2OH_g	-1.775757575757576	0.0	6.8	0.0539541513611558
CH3CH2OH_g	-1.7676767676767675	0.0	6.8	0.0694758207938597
CH3CH2OH_g	-1.7595959595959596	0.0	6.8	0.0894530840938684
CH3CH2OH_g	-1.7515151515151517	0.0	6.8	0.1151606392002798
CH3CH2OH_g	-1.7434343434343436	0.0	6.8	0.1482354223100749
CH3CH2OH_g	-1.7353535353535354	0.0	6.8	0.1907778401911285
CH3CH2OH_g	-1.7272727272727273	0.0	6.8	0.2454799266287568
CH3CH2OH_g	-1.7191919191919192	0.0	6.8	0.3157864036696193
CH3CH2OH_g	-1.7111111111111112	0.0	6.8	0.4060948698210229
CH3CH2OH_g	-1.7030303030303031	0.0	6.8	0.5220004062897233
CH3CH2OH_g	-1.694949494949495	0.0	6.8	0.6705864558204837
CH3CH2OH_g	-1.6868686868686869	0.0	6.8	0.8607554793102825
CH3CH2OH_g	-1.6787878787878787	0.0	6.8	1.10357556289854
CH3CH2OH_g	-1.6707070707070708	0.0	6.8	1.4125866163714096
CH3CH2OH_g	-1.662626262626263	0.0	6.8	1.8039542692397343
CH3CH2OH_g	-1.6545454545454543	0.0	6.8	2.2962756995981315
CH3CH2OH_g	-1.6464646464646466	0.0	6.8	2.909738820313552
CH3CH2OH_g	-1.6383838383838385	0.0	6.8	3.664263853368698
CH3CH2OH_g	-1.6303030303030304	0.0	6.8	4.576333997521737
CH3CH2OH_g	-1.6222222222222222	0.0	6.8	5.654626102525547
CH3CH2OH_g	-1.614141414141414	0.0	6.8	6.895361206990953
CH3CH2OH_g	-1.6060606060606062	0.0	6.8	8.279180344118112
CH3CH2OH_g	-1.597979797979798	0.0	6.8	9.771481682895924
CH3CH2OH_g	-1.58989898989899	0.0	6.8	11.326881609819004
CH3CH2OH_g	-1.5818181818181818	0.0	6.8	12.896380732893672
CH3CH2OH_g	-1.573737373737374	0.0	6.8	14.4345502351572
CH3CH2OH_g	-1.5656565656565655	0.0	6.8	15.90452114005114
