Product	Voltage	pressure	pH	TOF_Coverage
CH3CH2OH_g	-1.85	0.0	6.8	0.0009256659288179
CH3CH2OH_g	-1.8414141414141416	0.0	6.8	0.0010016427241843
CH3CH2OH_g	-1.8328282828282831	0.0	6.8	0.0010773579107516
CH3CH2OH_g	-1.8242424242424244	0.0	6.8	0.0011523282968113
CH3CH2OH_g	-1.8156565656565655	0.0	6.8	0.0012261214188633
CH3CH2OH_g	-1.8070707070707075	0.0	6.8	0.0012983588474542
CH3CH2OH_g	-1.7984848484848486	0.0	6.8	0.0013687172782789
CH3CH2OH_g	-1.78989898989899	0.0	6.8	0.0014369278059887
CH3CH2OH_g	-1.7813131313131314	0.0	6.8	0.0015027737765907
CH3CH2OH_g	-1.772727272727273	0.0	6.8	0.0015660875909149
CH3CH2OH_g	-1.7641414141414142	0.0	6.8	0.0016267467869475
CH3CH2OH_g	-1.7555555555555555	0.0	6.8	0.0016846696865784
CH3CH2OH_g	-1.746969696969697	0.0	6.8	0.0017398108389073
CH3CH2OH_g	-1.7383838383838386	0.0	6.8	0.001792156444964
CH3CH2OH_g	-1.72979797979798	0.0	6.8	0.001841719904717
CH3CH2OH_g	-1.7212121212121212	0.0	6.8	0.0018885375884795
CH3CH2OH_g	-1.7126262626262627	0.0	6.8	0.001932664902051
CH3CH2OH_g	-1.7040404040404042	0.0	6.8	0.0019741726880559
CH3CH2OH_g	-1.6954545454545455	0.0	6.8	0.0020131439845499
CH3CH2OH_g	-1.6868686868686869	0.0	6.8	0.0020496711454985
CH3CH2OH_g	-1.6782828282828284	0.0	6.8	0.0020838533154934
CH3CH2OH_g	-1.66969696969697	0.0	6.8	0.0021157942423831
CH3CH2OH_g	-1.6611111111111112	0.0	6.8	0.0021456004056981
CH3CH2OH_g	-1.6525252525252525	0.0	6.8	0.0021733794352463
CH3CH2OH_g	-1.643939393939394	0.0	6.8	0.0021992387925302
CH3CH2OH_g	-1.6353535353535356	0.0	6.8	0.0022232846872517
CH3CH2OH_g	-1.6267676767676769	0.0	6.8	0.0022456212017516
CH3CH2OH_g	-1.6181818181818182	0.0	6.8	0.0022663495974986
CH3CH2OH_g	-1.6095959595959597	0.0	6.8	0.002285567779449
CH3CH2OH_g	-1.6010101010101012	0.0	6.8	0.0023033698960724
CH3CH2OH_g	-1.5924242424242423	0.0	6.8	0.0023198460549461
CH3CH2OH_g	-1.5838383838383838	0.0	6.8	0.0023350821359512
CH3CH2OH_g	-1.5752525252525251	0.0	6.8	0.0023491596861976
CH3CH2OH_g	-1.5666666666666669	0.0	6.8	0.0023621558828104
CH3CH2OH_g	-1.5580808080808082	0.0	6.8	0.0023741435515917
CH3CH2OH_g	-1.5494949494949497	0.0	6.8	0.0023851912313149
CH3CH2OH_g	-1.540909090909091	0.0	6.8	0.0023953632750062
CH3CH2OH_g	-1.5323232323232323	0.0	6.8	0.0024047199810014
CH3CH2OH_g	-1.5237373737373738	0.0	6.8	0.0024133177478493
CH3CH2OH_g	-1.5151515151515151	0.0	6.8	0.0024212092482415
CH3CH2OH_g	-1.5065656565656569	0.0	6.8	0.0024284436180866
CH3CH2OH_g	-1.4979797979797982	0.0	6.8	0.0024350666575959
CH3CH2OH_g	-1.4893939393939395	0.0	6.8	0.0024411210417812
CH3CH2OH_g	-1.4808080808080808	0.0	6.8	0.0024466465380743
CH3CH2OH_g	-1.4722222222222223	0.0	6.8	0.0024516802288203
CH3CH2OH_g	-1.4636363636363638	0.0	6.8	0.0024562567361807
CH3CH2OH_g	-1.4550505050505051	0.0	6.8	0.0024604084464982
CH3CH2OH_g	-1.4464646464646465	0.0	6.8	0.0023075406086734
CH3CH2OH_g	-1.437878787878788	0.0	6.8	0.0020665872309314
CH3CH2OH_g	-1.4292929292929295	0.0	6.8	0.0018325268220018
CH3CH2OH_g	-1.4207070707070708	0.0	6.8	0.0016096032236983
CH3CH2OH_g	-1.412121212121212	0.0	6.8	0.0014012114906388
CH3CH2OH_g	-1.4035353535353536	0.0	6.8	0.0012097562838883
CH3CH2OH_g	-1.394949494949495	0.0	6.8	0.0010366337476912
CH3CH2OH_g	-1.3863636363636365	0.0	6.8	0.0008823158065682
CH3CH2OH_g	-1.3777777777777778	0.0	6.8	0.0007465027746438
CH3CH2OH_g	-1.3691919191919193	0.0	6.8	0.0006283079546812
CH3CH2OH_g	-1.3606060606060606	0.0	6.8	0.0005264436708468
CH3CH2OH_g	-1.352020202020202	0.0	6.8	0.0004393877806681
CH3CH2OH_g	-1.3434343434343434	0.0	6.8	0.0003655195673799
CH3CH2OH_g	-1.334848484848485	0.0	6.8	0.0003032218645517
CH3CH2OH_g	-1.3262626262626265	0.0	6.8	0.0002509515518535
CH3CH2OH_g	-1.3176767676767678	0.0	6.8	0.0002072833691071
CH3CH2OH_g	-1.309090909090909	0.0	6.8	0.000170932945948
CH3CH2OH_g	-1.3005050505050506	0.0	6.8	0.0001407647267091
CH3CH2OH_g	-1.291919191919192	0.0	6.8	0.0001157896549894
CH3CH2OH_g	-1.2833333333333334	0.0	6.8	9.515646327842086e-05
CH3CH2OH_g	-1.2747474747474747	0.0	6.8	7.813942169571554e-05
CH3CH2OH_g	-1.2661616161616165	0.0	6.8	6.412454854768087e-05
CH3CH2OH_g	-1.2575757575757576	0.0	6.8	5.259561006944817e-05
CH3CH2OH_g	-1.248989898989899	0.0	6.8	4.312073150359864e-05
CH3CH2OH_g	-1.2404040404040404	0.0	6.8	3.5340081618758204e-05
CH3CH2OH_g	-1.231818181818182	0.0	6.8	2.8954847493750905e-05
CH3CH2OH_g	-1.2232323232323232	0.0	6.8	2.371755705729039e-05
CH3CH2OH_g	-1.2146464646464648	0.0	6.8	1.942370918602582e-05
CH3CH2OH_g	-1.206060606060606	0.0	6.8	1.5904616062424923e-05
CH3CH2OH_g	-1.1974747474747476	0.0	6.8	1.302133574631235e-05
CH3CH2OH_g	-1.1888888888888889	0.0	6.8	1.065956429320987e-05
CH3CH2OH_g	-1.1803030303030304	0.0	6.8	8.725359144533261e-06
CH3CH2OH_g	-1.1717171717171715	0.0	6.8	7.141574116323939e-06
CH3CH2OH_g	-1.1631313131313132	0.0	6.8	5.844897980894522e-06
CH3CH2OH_g	-1.1545454545454543	0.0	6.8	4.783401383753279e-06
CH3CH2OH_g	-1.145959595959596	0.0	6.8	3.914509468403502e-06
CH3CH2OH_g	-1.1373737373737374	0.0	6.8	3.203329418851751e-06
CH3CH2OH_g	-1.128787878787879	0.0	6.8	2.621272837008375e-06
CH3CH2OH_g	-1.1202020202020202	0.0	6.8	2.144922326558019e-06
CH3CH2OH_g	-1.1116161616161615	0.0	6.8	1.7550998668885544e-06
CH3CH2OH_g	-1.103030303030303	0.0	6.8	1.4361016228900036e-06
CH3CH2OH_g	-1.0944444444444446	0.0	6.8	1.175069878606089e-06
CH3CH2OH_g	-1.085858585858586	0.0	6.8	9.614779123679873e-07
CH3CH2OH_g	-1.0772727272727274	0.0	6.8	7.867078867705571e-07
CH3CH2OH_g	-1.068686868686869	0.0	6.8	6.437052351111352e-07
CH3CH2OH_g	-1.0601010101010102	0.0	6.8	5.266957447683909e-07
CH3CH2OH_g	-1.0515151515151515	0.0	6.8	4.309538486667205e-07
CH3CH2OH_g	-1.042929292929293	0.0	6.8	3.52612716635349e-07
CH3CH2OH_g	-1.0343434343434343	0.0	6.8	2.885085583178116e-07
CH3CH2OH_g	-1.025757575757576	0.0	6.8	2.360530265838657e-07
CH3CH2OH_g	-1.0171717171717172	0.0	6.8	1.9312875729403169e-07
CH3CH2OH_g	-1.0085858585858587	0.0	6.8	1.580039749638804e-07
CH3CH2OH_g	-1.0	0.0	6.8	1.292627751097793e-07
CH3CH2OH_g	-1.85	-3.0	6.8	3.7793883535140375e-08
CH3CH2OH_g	-1.8414141414141416	-3.0	6.8	5.264877810178899e-08
CH3CH2OH_g	-1.8328282828282831	-3.0	6.8	7.330494803821064e-08
CH3CH2OH_g	-1.8242424242424244	-3.0	6.8	1.0200405908147785e-07
CH3CH2OH_g	-1.8156565656565655	-3.0	6.8	1.4183882893835465e-07
CH3CH2OH_g	-1.8070707070707075	-3.0	6.8	1.9706662191108325e-07
CH3CH2OH_g	-1.7984848484848486	-3.0	6.8	2.7353269779916773e-07
CH3CH2OH_g	-1.78989898989899	-3.0	6.8	3.7923784613509844e-07
CH3CH2OH_g	-1.7813131313131314	-3.0	6.8	5.25093947688033e-07
CH3CH2OH_g	-1.772727272727273	-3.0	6.8	7.259207084382103e-07
CH3CH2OH_g	-1.7641414141414142	-3.0	6.8	1.001746573696988e-06
CH3CH2OH_g	-1.7555555555555555	-3.0	6.8	1.3794850929111269e-06
CH3CH2OH_g	-1.746969696969697	-3.0	6.8	1.8950621865601775e-06
